protocol_version,polarization_type,radius,best_method,best_blind_ell_squared,cm_candidate_id,cm_discriminant,cm_ell_squared,cm_logical_image_order,cm_automorphism_order,blind_to_cm_ratio,blind_beats_cm,blind_ties_cm,spectrum_rms_difference,spectrum_max_difference,same_kernel_spectrum_at_tolerance
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",0.25,cma_es,0.5247401999526782,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,-4,1.0,6,384,0.5247401999526782,False,False,0.41084935767941116,0.4752598000473218,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",0.5,cma_es,0.5961995220976101,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,-4,1.0,6,384,0.5961995220976101,False,False,0.38388108845773916,0.40380047790238993,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",1.0,cma_es,0.8341217791518132,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,-4,1.0,6,384,0.8341217791518132,False,False,0.11218304979926208,0.16587822084818682,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 2]",1.5,cma_es,0.8690622455203525,g3_type_1_1_2_delta_m4_h_1_2_2_0_0_0_0_m1_m1,-4,1.0,6,384,0.8690622455203525,False,False,0.08073519354522869,0.1309377544796475,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",0.25,bayesian_ucb,0.35307398106338234,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,-3,1.1547005383792517,24,1296,0.3057710370161949,False,False,0.6660379554347973,0.8016265573158692,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",0.5,bayesian_ucb,0.4002016370066507,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,-3,1.1547005383792517,24,1296,0.34658478428387796,False,False,0.644663135405926,0.7544989013726008,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",1.0,cma_es,0.581627522894676,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,-3,1.1547005383792517,24,1296,0.5037042103670045,False,False,0.4621241696888968,0.5730730154845755,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 1, 3]",1.5,bayesian_ucb,0.7777295001565545,g3_type_1_1_3_delta_m3_h_2_2_2_m1_0_m1_0_0_1,-3,1.1547005383792517,24,1296,0.6735335044081496,False,False,0.28088156744650344,0.37697103822269695,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 2, 2]",0.25,cma_es,0.5074641176369635,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,-4,1.0,48,384,0.5074641176369635,False,False,0.3217113969665025,0.5455640097550036,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 2, 2]",0.5,bayesian_ucb,0.5691734797513854,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,-4,1.0,48,384,0.5691734797513854,False,False,0.2665361724995554,0.43082652024861456,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 2, 2]",1.0,cma_es,0.6370909454639978,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,-4,1.0,48,384,0.6370909454639978,False,False,0.2385063831584684,0.4611408822368306,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 2, 2]",1.5,bayesian_ucb,0.7354146349642461,g3_type_1_2_2_delta_m4_h_2_2_3_0_0_m1_m1_m1_m1,-4,1.0,48,384,0.7354146349642461,False,False,0.15077606767296287,0.2645853650357539,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",0.25,bayesian_ucb,0.3491025842520147,g2_type_1_3_delta_m24_h_6_6_3_2,-24,0.8164965809277261,24,24,0.427561599652205,False,False,0.37079590184013567,0.4673939966757109,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",0.5,cma_es,0.3989957827085304,g2_type_1_3_delta_m24_h_6_6_3_2,-24,0.8164965809277261,24,24,0.4886680385791454,False,False,0.40574348749544087,0.41750079821919517,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",1.0,cma_es,0.5175110503532458,g2_type_1_3_delta_m24_h_6_6_3_2,-24,0.8164965809277261,24,24,0.6338190048086122,False,False,0.232662882270296,0.29898553057447974,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 3]",1.5,bayesian_ucb,0.7309178437485679,g2_type_1_3_delta_m24_h_6_6_3_2,-24,0.8164965809277261,24,24,0.8951878805396573,False,False,0.060636526341956994,0.08557873717915765,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",0.25,sobol,0.20877146654666578,g2_type_1_5_delta_m55_h_15_15_2_m4,-55,0.5393598899705937,4,4,0.38707265858803136,False,False,0.38584094067322916,0.9609436901559152,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",0.5,bayesian_ucb,0.2344655027928405,g2_type_1_5_delta_m55_h_15_15_2_m4,-55,0.5393598899705937,4,4,0.4347106767720969,False,False,0.3839845468689707,0.8263973540362863,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",1.0,bayesian_ucb,0.29770980902011746,g2_type_1_5_delta_m55_h_15_15_2_m4,-55,0.5393598899705937,4,4,0.5519687588121335,False,False,0.2542231942341109,0.4907060198346578,False
phase10-v1-blind-bounded-global-moduli-search,"[1, 5]",1.5,cma_es,0.47037912849758134,g2_type_1_5_delta_m55_h_15_15_2_m4,-55,0.5393598899705937,4,4,0.8721062452812848,False,False,0.0805925902879026,0.15010472970329158,False
